art,sail,poptrie
299.98,248.14,221.88
293.13,260.22,221.2
294.77,249.05,217.63
291.11,255.25,208.62
296.5,248.74,216.69
295.28,263.29,221.58
294.28,262.81,220.99
297.3,252.78,222.2
292.02,253.44,216.61
297.65,255.93,220.35
294.09,263.35,216.55
292.19,252.3,216.25
295.57,261.1,222.11
295.11,257.02,215.89
294,259.69,222.72
299.79,258.64,222.03
276.05,248.7,223.21
293.82,264.87,217.17
294.43,247.86,216.52
296.44,252.23,221.44
292.21,256.12,223.13
296.15,261.44,217.29
294.27,249.65,222.21
293.52,257.88,223.27
288.12,264.47,221.99
297.04,262.16,221.82
298.78,266.01,221.73
295.81,256.76,217.17
294.01,257.32,220.92
292.68,264,222.1
296.95,257.03,215.71
296.83,252.07,221.59
294.46,261.79,222.34
293.78,255.18,223.64
292.13,248.9,216.59
295.53,264.58,224.02
298.02,244.96,217.5
294.76,263.39,216.95
291.23,258.21,217.27
290.62,263.51,203.96
297.46,259.05,217.39
295.15,250.95,213.58
293.62,251.23,215.6
294.07,252.51,222.65
294.35,265.66,221.71
291.85,254.61,221.55
295.13,263.85,219.12
297.41,263.45,221.43
295.81,259.62,222.09
297.04,260.81,222.34
274.95,252.57,221.85
298.53,255.9,215.64
294.17,254.75,222.34
298.37,252.59,213.6
294.02,263.77,214.91
297.21,257.46,221.27
294.39,259.87,221.17
297.61,260.76,216
294.14,257.92,215.84
297.58,260.06,221.74
295.79,245.94,222.24
298.18,257.87,216.21
299.93,259.95,222.55
297.52,264.6,222.02
299.48,256.34,207.21
297.41,261.14,216.81
287.78,254.1,222.16
298.45,214.34,222.05
296.1,260.16,221.48
279.85,256.22,215.43
296.61,259.61,217.05
295.53,250.7,221.08
298.26,257.44,222.75
298.6,261,222.71
293.25,255.53,222.56
297.09,251.74,221.58
296.21,256.9,222.01
294.57,263.03,222.24
295.43,262.66,221.28
295.65,255.84,224.56
295.25,256.67,221.39
292.96,255.16,220.79
295.87,261.25,221.58
296.39,262.65,222.61
292.99,257.34,222.2
296.06,256.02,217.12
299.34,259.31,216.96
295.46,255.74,202.29
228.55,262.96,223.06
296.08,257.94,223.69
297.38,258.38,222.39
296.55,260.62,213.28
297.27,265.69,217.17
292.34,265.94,222.19
294.38,257.16,216.1
298.06,264.73,216.48
292.91,262.41,221.83
296.84,255.16,218.1
298.05,258.65,215.94
297.76,251.92,218.76