art,rrc00,77.3,77.5,77.4,77.4,77.5,77.5,77.6,77.5,77.6,77.6
art,rrc01,64.5,64.2,64.4,64.5,64.5,64.5,64.5,64.5,64.5,64.5
art,rrc02,79.0,78.8,78.7,79.0,79.0,78.9,78.9,79.0,78.7,79.0
art,rrc03,64.2,64.1,64.1,64.1,64.1,64.1,64.1,64.2,64.0,64.1
art,rrc04,78.9,78.8,78.9,79.0,79.0,78.8,78.9,78.9,79.0,78.6
art,rrc05,64.3,64.5,64.5,64.4,64.5,64.4,64.5,64.4,64.5,64.5
art,rrc06,78.7,78.8,78.5,78.4,78.4,78.5,78.6,78.6,78.5,78.6
art,rrc07,63.7,63.8,63.7,63.8,63.0,63.8,63.8,63.8,63.8,63.8
art,rrc10,78.2,77.8,78.2,78.2,78.2,78.3,78.3,78.4,78.3,78.4
art,rrc11,63.8,63.2,63.9,63.9,63.9,63.8,63.8,63.8,63.8,63.8
art,rrc12,64.2,63.6,64.3,64.2,64.2,64.4,64.4,64.4,64.4,64.4
art,rrc13,78.3,78.1,78.3,78.2,78.2,78.2,78.3,78.2,78.0,78.2
art,rrc14,64.1,63.3,64.0,64.2,64.2,64.0,64.1,64.1,63.7,64.1
art,rrc15,78.1,78.2,77.9,78.1,78.1,77.9,78.0,77.9,78.0,78.0
art,rrc16,64.3,63.8,64.3,64.3,64.2,64.3,64.3,64.3,64.3,64.3
art,rrc18,64.4,64.4,64.4,64.5,64.4,64.4,64.4,64.5,64.4,64.4
art,rrc19,78.6,78.1,78.8,78.6,78.9,78.7,78.8,78.8,78.8,78.8
art,rrc20,63.8,63.7,63.8,63.7,63.2,63.7,63.6,63.7,63.7,63.7
art,rrc21,78.8,78.2,78.9,79.0,79.0,78.8,78.7,78.9,78.8,78.7
art,rrc22,64.3,64.3,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2
art,rrc23,79.1,79.2,79.0,78.9,79.0,79.0,78.8,79.1,78.8,79.0
art,rrc24,78.9,79.0,78.8,78.8,79.0,78.9,79.0,78.8,78.9,78.0
sail,rrc00,68.9,68.7,69.4,69.0,69.6,69.6,69.6,69.3,69.6,69.6
sail,rrc01,67.9,67.9,67.9,68.1,68.1,68.0,67.7,68.0,68.0,68.1
sail,rrc02,89.2,89.1,89.1,89.3,89.0,88.7,88.9,89.0,89.2,88.9
sail,rrc03,68.3,68.3,68.3,68.2,68.3,68.0,67.3,68.2,68.4,68.7
sail,rrc04,68.2,68.1,68.1,67.5,68.3,68.2,68.3,68.1,68.4,68.2
sail,rrc05,70.2,70.4,70.6,70.5,70.6,70.6,70.5,70.3,70.7,70.7
sail,rrc06,67.9,67.8,67.5,67.6,67.7,67.3,67.6,67.8,67.9,67.5
sail,rrc07,68.1,68.3,67.9,68.2,68.1,68.2,68.0,68.0,68.0,68.2
sail,rrc10,68.3,68.4,68.1,68.1,68.1,68.1,67.2,68.2,67.9,68.3
sail,rrc11,68.6,68.6,68.4,68.4,68.5,68.4,68.3,68.2,68.3,68.5
sail,rrc12,68.4,68.2,68.1,68.2,68.4,68.1,68.0,68.4,68.4,68.3
sail,rrc13,68.3,68.2,68.3,68.4,68.1,68.4,68.3,68.4,68.2,66.8
sail,rrc14,67.9,67.6,67.6,67.7,67.6,67.7,67.6,67.7,67.6,67.7
sail,rrc15,69.4,69.0,69.2,69.1,69.0,69.1,69.1,69.2,69.3,69.3
sail,rrc16,68.1,68.3,68.1,68.2,68.3,68.3,68.6,68.3,68.4,68.1
sail,rrc18,68.5,68.3,68.5,68.4,68.5,68.5,68.4,68.5,68.5,68.5
sail,rrc19,70.4,70.3,70.5,70.2,70.9,70.9,70.8,70.4,70.9,70.9
sail,rrc20,67.6,67.9,67.6,67.8,67.8,67.7,67.4,67.7,67.8,67.8
sail,rrc21,69.4,69.9,70.1,70.1,69.8,70.2,70.0,70.3,70.1,70.3
sail,rrc22,68.1,68.2,68.0,67.9,68.0,68.2,68.1,68.1,68.1,67.5
sail,rrc23,69.8,69.6,69.8,69.8,69.7,69.7,69.6,69.8,70.0,69.6
sail,rrc24,67.9,68.0,68.0,67.9,67.5,67.7,67.7,68.9,68.7,68.9
poptrie,rrc00,50.2,50.0,50.0,50.0,50.0,50.1,50.0,49.9,50.0,50.1
poptrie,rrc01,54.5,54.4,54.1,54.2,54.1,54.2,54.2,54.1,54.0,54.2
poptrie,rrc02,60.6,60.5,60.5,60.6,60.4,60.5,60.5,60.3,60.5,60.5
poptrie,rrc03,51.4,51.4,50.7,50.6,50.7,50.7,50.7,50.7,50.9,50.8
poptrie,rrc04,51.2,51.4,51.3,51.2,51.3,51.3,51.3,51.3,51.4,51.2
poptrie,rrc05,55.3,55.2,55.1,55.1,55.1,55.1,55.1,54.8,55.2,55.1
poptrie,rrc06,50.8,50.9,50.9,50.9,50.9,50.9,50.8,50.7,50.9,50.9
poptrie,rrc07,54.8,54.8,54.3,54.3,54.4,54.3,54.3,54.3,54.4,54.0
poptrie,rrc10,50.4,51.1,51.0,50.9,51.0,51.0,51.0,51.0,50.7,51.1
poptrie,rrc11,54.6,54.8,54.5,54.5,54.5,54.5,54.5,54.4,54.5,54.6
poptrie,rrc12,50.6,50.8,50.9,51.0,51.0,50.8,50.9,50.8,51.0,50.9
poptrie,rrc13,53.8,54.5,54.6,53.5,54.6,54.5,54.5,54.6,54.3,54.6
poptrie,rrc14,51.0,51.0,51.0,51.0,51.0,51.0,50.9,51.0,51.1,51.0
poptrie,rrc15,53.2,53.5,53.6,53.6,53.6,53.4,53.6,53.5,53.6,53.6
poptrie,rrc16,51.1,51.1,51.0,50.9,50.9,51.0,50.9,50.9,51.0,51.0
poptrie,rrc18,51.1,51.2,51.3,51.3,51.4,51.4,51.3,51.3,51.4,51.3
poptrie,rrc19,54.6,54.9,54.7,54.7,54.7,54.8,54.6,54.6,54.8,54.8
poptrie,rrc20,50.8,50.8,50.7,50.7,50.8,50.7,50.7,50.7,50.8,50.7
poptrie,rrc21,55.1,54.8,54.9,54.8,54.9,54.8,54.8,54.9,54.9,54.9
poptrie,rrc22,51.3,51.4,51.5,51.5,51.5,51.5,51.4,51.4,51.5,51.5
poptrie,rrc23,54.6,54.4,54.3,54.3,54.4,54.3,54.3,54.1,54.3,54.4
poptrie,rrc24,51.3,51.4,51.3,51.1,51.2,51.3,51.2,51.3,51.2,51.3
dxr,rrc00,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4
dxr,rrc01,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3
dxr,rrc02,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
dxr,rrc03,20.9,20.9,20.6,20.9,20.9,20.9,20.9,20.9,20.9,20.9
dxr,rrc04,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.9
dxr,rrc05,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,20.9
dxr,rrc06,25.0,25.0,24.9,24.9,25.0,24.9,24.9,24.9,24.9,24.9
dxr,rrc07,21.2,21.2,20.6,21.2,21.2,21.2,21.2,21.2,21.2,21.2
dxr,rrc10,24.9,24.9,24.8,24.8,24.9,24.8,24.8,24.8,24.9,24.8
dxr,rrc11,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
dxr,rrc12,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
dxr,rrc13,21.3,21.3,20.9,21.3,21.3,21.3,21.3,21.3,21.3,21.3
dxr,rrc14,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
dxr,rrc15,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
dxr,rrc16,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
dxr,rrc18,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3
dxr,rrc19,21.0,21.0,19.9,21.0,21.0,20.9,21.0,21.0,21.0,20.9
dxr,rrc20,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9
dxr,rrc21,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2
dxr,rrc22,25.3,25.3,25.3,25.2,25.3,25.2,25.2,25.3,25.3,25.3
dxr,rrc23,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.3
dxr,rrc24,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3
